X,Y
27.620039,53.873344
27.7051,53.8445
27.6479,53.8366
27.6305,53.8692
27.633,53.8722
27.5906,53.8843
27.5906,53.8843
27.592,53.8607
27.4748,53.8658
27.5179,53.8909
27.5179,53.8909
27.4606,53.8661
27.5998,53.904
27.6895,53.9513
27.6357,53.9421
27.6757,53.9493
27.6757,53.9493
27.604,53.9536
27.4385,53.904
31.024145,52.447165
31.0127,52.4327
31.0069,52.4359
30.2067,55.1981
30.22919,55.195164
30.2343,55.196
30.2352,55.184
30.235,55.1912
30.232,55.196
30.234,55.1595
30.2621,55.1723
30.2113,55.1697
23.708023,52.092702
23.7059,52.0697
23.781127,52.101682
23.760305,52.09299
23.802714,53.707883
23.8561,53.7082
30.3373,53.899
30.3572,53.8802
30.3284,53.8706
30.235,55.1912
27.684,53.8646
27.6126,53.8824
27.444,53.9249
27.4418,53.9166
30.2144,55.1811
30.2315,55.1972
31.0259,52.4508
30.2419,55.1709
27.7617,53.9632
27.4599,53.7966
27.611082,53.877757
27.5785,53.8391
27.4431,53.8601
27.4826,53.8443
27.5046,53.8503
27.5561,53.8844
27.5793,53.909
27.5998,53.904
27.6351,53.9388
30.2078,55.198
30.2367,55.1935
30.3305,53.8953
27.909263,53.878102
27.6796,53.9971
27.6562,53.8697
27.5633,53.8672
27.5367,53.8732
27.6731,53.9104
27.6524,53.8895
27.7131,53.9432
27.696315,53.951405
27.6837,53.942
27.5824,53.9265
27.622458,53.959773
27.436099,53.902138
27.4355,53.8805
27.452,53.8959
27.5538,53.9289
27.6795,54.0129
23.835736,53.649775
30.2425,55.1757
30.338004,53.897493
27.5409,53.9008
30.2031,55.1816
27.6889,53.8701
27.6729,53.8663
27.666,53.8673
27.4746,53.8533
27.4594,53.847255
27.4589,53.846
27.5916,53.8966
27.6958,53.942
27.581292,53.928409
27.4256,53.9161
27.4511,53.8961
27.4405,53.8814
27.5425,53.9288
30.3372,53.9093
27.6795,54.0109
27.6204,53.9304
27.6832,54.0122
27.4201,53.9096
27.6795,54.0129
27.6814,54.0109
27.678,54.0144
27.519,53.824
27.677979,54.014315
27.6806,53.8878
27.6105,53.8758
27.616042,53.876596
27.562208,53.849594
27.566,53.8835
27.5769,53.8365
27.5955,53.8864
27.5652,53.8454
27.5224,53.8967
27.4434,53.8544
27.511,53.8906
27.4345,53.8581
27.4743,53.8795
27.5486,53.8798
27.7027,53.9453
27.6685,53.948
27.6685,53.948
27.682,53.9359
27.6003,53.9362
27.6038,53.9554
27.5996,53.9326
27.6183,53.9538
27.6163,53.9592
27.500638,53.90727
27.4795,53.9207
27.4795,53.9207
27.4177,53.9139
27.445,53.8783
27.4924,53.9164
27.4402,53.9165
27.4464,53.9086
27.4769,53.9068
27.4431,53.9059
27.503,53.925
27.4531,53.8947
27.5637,53.9292
27.5637,53.9292
27.5637,53.9292
27.5637,53.9292
27.5528,53.9319
27.5572,53.9258
27.536,53.9141
31.002217,52.417592
30.220393,55.20672
30.2352,55.184
23.7059,52.0697
30.326702,53.902215
30.322,53.8799
27.6533,53.8891
27.6984,53.9277
31.025,52.4494
27.6424,53.8703
27.6831,54.0108
27.6795,54.0129
27.6772,53.9539
27.4496,53.7991
27.6728,53.962
27.683287,54.007258
27.6034,53.8796
27.5247,53.8939
27.452,53.9235
27.4519,53.9222
27.4514,53.9229
27.4504,53.8972
27.4958,53.9149
27.5033,53.9308
23.843318,53.675706
27.4827,53.8735
31.018288,52.451095
27.6795,54.0129
27.4602,53.7964
27.430165,53.955612
27.319879,53.739258
27.6169,53.8746
27.6799,53.8752
27.5673,53.8376
27.5671,53.8836
27.5644,53.8631
27.5604,53.8466
27.6131,53.8875
27.581,53.8973
27.7188,53.9482
27.6904,53.9401
27.6866,53.9335
27.6966,53.9426
27.6049,53.96
27.5927,53.9087
27.443581,53.877627
27.4386,53.9292
27.4757,53.8955
27.4974,53.9184
27.4605,53.9208
30.2082,55.2039
27.583,53.9235
30.224,55.174
27.554,53.9018
27.4378,53.9173
27.6795,54.0129
27.6795,54.0129
27.6831,54.0108
27.6814,54.0132
27.6814,54.0132
27.6756,53.9577
27.6889,53.8712
27.697147,53.844676
27.613,53.8641
